Course Subject,Course Number,Course Name,Course Description,See Also
ELEC, 421,     Solid State Devices (3.5 credits),"Prerequisite: ELEC 321. Junction theory (PN junctions, Schottky and ohmic contacts, hetero-junctions). Structures and charac-teristics of diodes, solar cells, bipolar transistors, and fundamentals of MOSFETs. Planar silicon junctions and transistors will be designed, fabricated and evaluated in the laboratory, includ­ing resistivity measurements, semiconductor cleaning, oxidation, diffusion, photolithography, etching, metallization, and comparison of design with experimental results. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 422,     Design of Integrated Circuit Components (3.5 credits),"Prerequisite: ELEC 421. Structures, characteristics and design of MOS capacitors and MOSFETs. FinFETs, SOI FETs, velocity-
modulation transistors, and HFETs. Role of strain in operation of modern FETs. Planar MOS devices, including capacitors and MOSFETs will be designed, fabricated, and evaluated in the laboratory. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 423,     Introduction to Analog VLSI (4 credits),"Prerequisite: ELEC 312. CMOS transistor layout considerations, design rules, circuit extraction. MOSFET modelling, I-V equations, AC equivalent circuits for high-frequency operation, computer-based simulation. Analysis and design of small-scale integrated circuit building blocks including MOS switch, active resistor, current source, current mirror, voltage amplifiers, voltage-reference circuits, multipliers. Analysis and design of medium-scale integrated circuit building blocks including op-amps, fully-differential op-amp and common mode feedback circuits, transconductance amplifiers, transimpedance amplifiers, comparators. Noise analysis. Mismatch analysis and modelling, offset removal techniques. Analog VLSI system examples. Lectures: three hours per week. Laboratory: 30 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 424,     VLSI Process Technology (3.5 credits),"Prerequisite: ELEC 311, 321. Introduction to basic VLSI technologies; crystal growth, thermal oxidation, diffusion, ion implantation, chemical vapour deposition, wet and dry etching, and lithography. Layout, yield, and VLSI process integration. The lab demonstrates a semiconductor device fabrication process. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 425,     Optical Devices for High-Speed Communications (3.5 credits),"Prerequisite: ELEC 321, 351. Optical properties of semiconductors. Fundamental principles for understanding and applying optical fibre technology. Fundamental behaviour of the individual optical components and their interactions with other devices. Lasers, LEDs, optical fibres, light detectors, optical switches. Concepts of WDM and DWDM. Components required for WDM and DWDM. A comprehensive treatment of the underlying physics: noise and distortion in optical communications, light polarization, modulation and attenuation. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 430,     Electrical Power Equipment (3.5 credits),"Prerequisite : ELEC 331. Components of a transmission system. Transmission line; modelling and parameters. Transformers: equivalent circuits, losses, connections and protection. Breakers: operation and design. Compensation equipment: capacitors, inductors, series and shunt connections. Insulation coordination. Lectures: three hours per week. Laboratory: 15 hours total.
NOTE: This course is usually offered in the French language.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 431,     Electrical Power Systems (3.5 credits),"Prerequisite: ELEC 331. Inductance, capacitance, resistance of polyphase transmission lines; current and voltage relations of transmission lines; load flow studies; symmetrical and unsymmetrical faults; power system stability. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 432,     Control of Electrical Power Conversion Systems (3.5 credits),"Prerequisite: ELEC 331, 372. Basic considerations and control requirements. Control system principles and structures. Controller characteristics and operation. Static power conversion systems. Electromechanical systems and electrical machine modelling. Control system design. Applications to electric motor drives and typical power conversion systems. Lectures: three hours per week. Laboratory: 15 hours total.
NOTE: This course is usually offered in the French language.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 433,    Power Electronics (3.5 credits),"Prerequisite: ELEC 311, 331. Review of basic electrical concepts. Power electronic systems. Power semiconductor switches. AC controllers. Line frequency AC-DC converters: diodes and thyristor circuits. DC-DC converters. DC-AC converters. Utility applications: STATCOM and power electronic interfaces. Industrial and utility applications. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 434,     Behaviour of Power Systems (3.5 credits),"Prerequisite: ELEC 331. Introduction: classification of phenomena, structure of power systems. Review of component models: lines, transformers, electrical machines and load. Excitation systems of machines. Steady-state operation. Transient stability, voltage stability and small signal stability. Compensation methods: stabilizer, series and shunt compensators. Sub-synchronous resonances. Transient electromagnetic phenomena. Methods and tools for numerical simulation. Lectures: three hours per week. Laboratory: 15 hours total.
NOTE: This course is usually offered in the French language.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 435,     Electromechanical Energy Conversion Systems (3.5 credits),"Prerequisite: ELEC 331. Lumped parameter concepts of electromechanics. Energy, co-energy in the derivation of torques and forces. Examples of electric machines: dc, synchronous and induction types. Steady-state, transient and stability analysis. Power electronic controllers. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 436,     Protection of Power Systems (3.5 credits),"Prerequisite: ELEC 331. General aspects of protection systems. Measurement transformers. Grounding. Overcurrent and ground fault protection. Protection of transformers, shunt capacitors and buses. Protection of transmission lines. Telecommunication for protection and automation systems. Protection of inverters. Protection of distribution networks. Lectures: three hours per week. Laboratory: 15 hours total.
NOTE: This course is usually offered in the French language.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 437,     Renewable Energy Systems (3 credits),"Prerequisite: ELEC 331. Electrical basics and models of solar energy (photo-voltaics), electrical power from wind energy, electrical power from water, including wave energy, tidal energy, micro-hydro. Case studies, for example the application of solar PV to street lighting. Electrical engineering design implications. Design assignments. Lectures: three hours per week.
NOTE: Students who have received credit for this topic under an ELEC 498 number may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 438,     Industrial Electrical Systems (3.5 credits),"Prerequisite: ELEC 331. Structures of industrial power systems. Voltage levels. Electric installations, codes and standards. Short-circuits, protection and coordination. Grounding. Power quality. Power factor, tariffs and energy management. Lectures: three hours per week. Laboratory: 15 hours total.
NOTE: This course is usually offered in the French language.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 439,     Hybrid Electric Vehicle Power System Design and Control (3 credits),"Prerequisite: ELEC 331. Introduction to Electric Vehicles (EV), Hybrid Electric Vehicles (HEV). Vehicle design fundamentals. Traction motors for EV/HEV propulsion. On-board energy sources and storage devices: high-voltage traction batteries, fuel cells, ultra-capacitors, flywheels. Power electronic converters and control. Various EV/HEV/Fuel Cell Vehicle topologies and modelling. Energy management strategies. Practical design considerations. Engineering impact of electric, hybrid electric, and fuel cell vehicles. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 440,     Controlled Electric Drives (3.5 credits),"Prerequisite: ELEC 331, 372. Elements of a drive system, characteristics of common mechanical systems, drive characteristics, operation in one, two, or four quadrants. Fully controlled rectifier drives, braking of DC motors, control of DC motors using DC/DC converters. Control of polyphase induction motors, voltage-source and current-source inverter drives, frequency-controlled induction motor drives, introduction to vector control of induction motor drives, field oriented control, sensor-less operation. Control of synchronous motors, permanent magnet motors. Switched reluctance motor drives, stepper motors. Brushless DC motor drives, low-power electronic motor drives. Lectures: three hours per week. Laboratory: 15 hours total.
NOTE: Students who have received credit for this topic under an ELEC 498 number may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 441,     Modern Analog Filter Design (3.5 credits),Prerequisite: ELEC 342 or 364. Review of network analysis. Magnitude and frequency scaling. Magnitude and phase approximation in synthesis of filter functions. Second-order active RC filters. Synthesis of all-pole LC ladder filters. Second-order switched-capacitor filters. Realization of high-order active filters. Current mode filters. Switched-current filters. Integrated circuit filters. Lectures: three hours per week. Laboratory: 15 hours total.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 442,     Digital Signal Processing (3.5 credits),"Prerequisite: ELEC 342 or 364; ENGR 371. Review of Z-transform; linear phase and non-linear phase systems; all-pass and minimum phase systems, recursive and non-recursive digital filters; common digital filter structures, common design approaches for digital filters; description of typical Digital Signal Processor chips; Review of sampling, reconstruction, interpolation and decimation; changing the sampling rate by integer and non-integer factor; multirate signal processing, polyphase decomposition, multirate filter banks; digital processing of analog signals, A/D and D/A converters; discrete Fourier transform; random signals, Least-Mean-Square (LMS) filters. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 443,     Electric Power Distribution Networks (3 credits),"Prerequisite: ELEC 331. This course covers the following topics: fundamentals of distribution systems; overhead lines and cables, physical characteristics; neutral network; distribution protection; protection coordination, equipment failures; service continuity, norms, fault duration and damage; network architectures; distributed generation, network integration; power quality, connection requirements, harmonics, voltage sag, flicker; distribution network analysis software, unbalanced power flow, faulted operation. Lectures: three hours per week. Laboratory: 12 hours total.
NOTE: This course is usually offered in the French language.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 444,     Medical Image Processing (3 credits),"Prerequisite: ELEC 342 or 364. Principles and techniques used in the processing and analysis of medical images. Image quality metrics, denoising medical images, quantification, rigid and deformable registration. Similarity metrics such as mutual information (MI). Images from the most common medical imaging modalities (X-ray, CT, MRI and ultrasound) will be used. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 445,     Biological Signal Processing (3 credits),"Prerequisite: ELEC 442. This course covers signal processing through discussion of current bioengineering activities which rely on signal processing and include assessment of neural function with simultaneous collection of electroencephalogram (EEG) and functional MRI data; the non-invasive assessment of cardiac autonomic regulation using electrocardiography; assessment of neural function using near-infrared spectroscopy (NIRS); assessment of muscle activity using electromyography (EMG). Topics include modern spectral analysis, time-frequency analysis (short-time Fourier transforms and wavelets); signal modelling; multivariate analyses and adaptive filtering. Lectures: three hours per week.
NOTE: Students who have received credit for this topic under an ELEC 498 number may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 446,     Electrical Power Generation (3 credits),"Prerequisite: ELEC 431. This course covers the following topics: primary energy resources, conventional and renewable; electric power generation principles; rotating and static power conversion, frequency and voltage control; synchronous generators, design and operation; generation control; static power converter interfaces, principles and operation; wind energy conversion principles, generator control and wind farm control; energy storage control and integration; generation protection; distributed generation interconnection requirements. Lectures: three hours per week. Laboratory: nine hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 453,     Microwave Engineering (3.5 credits),"Prerequisite: ELEC 351. Properties of waveguides, striplines, and microstrips. Scattering parameters. Butterworth and Chebyshev impedance transformers. Microwave couplers, cavities, and Fabry-Perot resonators. Periodic structures. Microwave filter design. Faraday rotation and non-reciprocal devices. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 455,     Acoustics (3 credits),"Prerequisite: ELEC 351. Sound generation and propagation in elastic media; conversion between acoustical, electrical, and mechanical energy. Lumped-parameter approximations, sound in rooms, underwater acoustics, microphones; loudspeakers and audio communications problems; noise and vibration control problems. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 456,     Antennas (3.5 credits),Prerequisite: ELEC 351. Antenna fundamentals and definitions. Radiation integrals. Dipoles and loops. Arrays. Antenna self and mutual impedance. Matching techniques. Travelling wave antennas. Broadband antennas. Equivalence principle. Aperture antennas. Antenna measurement techniques. Lectures: three hours per week. Laboratory: 15 hours total.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 457,     Design of Wireless RF Systems (3 credits),Prerequisite: ELEC 453. Introduction to wireless systems. Noise and distortion in microwave systems. Antennas and propagation. Amplifiers. Mixers. Transistor oscillators and frequency synthesizers. Modulation techniques. Receiver design. Use of RF CAD tools. Lectures: three hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 458,      Techniques in Electromagnetic Compatibility (3 credits),"Prerequisite: ELEC 351. Introduction to EMC procedures, control plans, and specifications. Radiated and conducted susceptibility and emission testing. Introduction to EMC antennas, antenna concepts, electric and magnetic dipoles, biconical dipoles, conical log spiral antennas, setting up fields for susceptibility testing, measuring radiation from equipment. Coupled transmission lines, pulse propagation, closely spaced parallel transmission lines, capacitive coupling, inductive coupling, shielding against magnetic fields. Shielding and enclosures, electric and magnetic field screening mechanisms, shielding effectiveness, grounding considerations. EMC test facilities, screened rooms, TEM cells, signals and spectra, intermodulation, cross-modulation, the spectrum analyzer. Noise and pseudo-random noise, noise performance of measurement/receiving systems, noise equivalent bandwidth, noise figure, antenna noise temperature and S/N ratio. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 463,     Telecommunication Networks (3.5 credits),"Prerequisite: COEN 352; ELEC 342 or 364; ENGR 371. This course covers the following topics: communication networks and services; introduction to layered network architectures; transmission systems and the telephone network, including multiplexing, circuit switches, routing and signalling; peer-to-peer protocols including ARQ protocols, data-link controls, packet multiplexing; multiple access communications including Aloha, CSMA, reservation schemes, polling, token-passing ring, LAN standards, LAN bridges; packet-switching networks including datagrams and virtual circuits; TCP/IP architecture including Internet protocol, transmission control protocol. Lectures: three hours per week. Laboratory: 15 hours total.
NOTE: Students who have received credit for COEN 445 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 464,     Wireless Communications (3 credits),"Prerequisite: ELEC 367. Introduction to error control coding: linear block codes, syndrome-based decoding, coding vs. modulation, convolutional codes, Viterbi decoder. Communications link analysis. Introduction to cellular systems: frequency reuse, trunking and grade of services, sectoring and cell splitting, coverage and capacity. Modulation techniques for mobile communications. Mobile radio channels. Spread-spectrum techniques. Multiplexing and multiple access techniques. Wireless standards from first generation to fourth generation; OFDM: an architecture for the fourth generation. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 465,     Networks Security and Management (3.5 credits),"Prerequisite: COEN 445 or ELEC 463. Network security threats. Importance of security policy. Principles and techniques of encryption and authentication. Network security protocols: X509, IPSEC (Internet Protocol Security Architecture). Network management: issues, architectures, and protocols. Fault management, configuration management, security management, performance management, and accounting management. Management Information Bases (MIBs). SNMP and its evolution. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 466,     Introduction to Optical Communication Systems (3.5 credits),"Prerequisite: ELEC 351, 367. Overview of optical fibres and optical fibre com­munications. Signal propagation in optical fibres: attenuation, chromatic dispersion, mode coupling, and nonlinearities. Optical transmitters’ characteristics and requirements for optical networks. Power launching and coupling: optical transmitter-to-fibre coupling, fibre-to-fibre joints, and optical fibre connectors. Optical receivers: basic structures, noise analysis, characteristics and requirements for optical networks. Digital/analog transmissions: link power budget, rise-time budget, line coding, error correction, and noise effects on transmissions. WDM concepts: operation principle of WDM. Optical amplifiers: characteristics and requirements for optical networks, amplifier noise, system applications, and wavelength conversion. Optical networks: basic topologies, SONET/SDH, broadcast-and-select WDM networks, wavelength-routed networks. Optical measurements: test equipments, attenuation/dispersion measurements, OTDR, eye pattern and OSA. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 470,     Broadcast Signal Transmission (3 credits),"Prerequisite: ELEC 363 or 367. Topics include signal definition, human eye limitations, pixel representation schemes, interfaces serial digital interface (SDI), image formats (1080i, 720i, 4k, 8k), compression schemes: MPEG-2, MPEG-4, moving JPEG. Modulation techniques: QPSK, QAM, VSB. Advanced terrestrial transmission standards such as DVB-T2, ATSC-3. Satellite broadcasting standards such as DVB/S2. Path calculation: antennas, up and down conversion, solid state and travelling wave tube amplifiers. Transmission lines, waveguide and coaxial cable. Lectures: three hours per week.
NOTE: Students who have received credit for this topic under an ELEC 498 number may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 472,     Advanced Telecommunication Networks (3.5 credits),"Prerequisite: ELEC 463 or COEN 445. Routing in packet networks, shortest-path algorithms, Internet routing protocols, ATM networks: ATM and ATM adaptation layers, traffic management and QoS, congestion control, ATM signalling, advanced network architectures: classical IP over ATM, MPLS, integrated and differentiated services, mobile communications: wireless transmission, medium access control, GSM system, mobile IP, mobile transport layer and support for mobility. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 473,     Autonomy for Mobile Robots (3 credits),"Prerequisite: ELEC 372; ENGR 371. The course discusses application of autonomous wheeled robots such as autonomous cars, indoor robots, and (off-road) unmanned ground vehicles. Topics include robot motion models, robot odometry, robot sensor models (beam models of range finders and feature-based measurement models) and occupancy grid mapping. The course also covers state estimation for robot localization and introduction to simultaneous localization and mapping (SLAM). Assignments include algorithm implementation on a robot. Lectures: three hours per week.
NOTE: Students who have received credit for this topic under an ELEC 498 number may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 481,     Linear Systems (3.5 credits),"Prerequisite: AERO 371 or ELEC 372 or MECH 371. Review of matrix algebra. State-space description of dynamic systems: linearity, causality, time-invariance, linearization. Solution of state-space equations. Transfer function representation. Discrete-time models. Controllability and observability. Canonical forms and minimal-order realizations. Stability. Stabilizability and pole placement. Linear quadratic optimal control. Observer design. Lectures: three hours per week. Laboratory: 15 hours total.
NOTE: Students who have received credit for ENGR 471 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 482,     System Optimization (3.5 credits),"Prerequisite: ENGR 391 or EMAT 391. Linear least squares. Properties of quadratic functions with applications to steepest descent method, Newton’s method and Quasi-Newton methods for nonlinear optimization. One-dimensional optimization. Introduction to constrained optimization, including the elements of Kuhn-Tucker conditions for optimality. Least pth and mini-max optimization. Application of optimization techniques to engineering problems. Lectures: three hours per week. Laboratory: 15 hours total.NOTE: Students who have received credit for ENGR 472 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 483,      Real-Time Computer Control Systems (3.5 credits),"Prerequisite: AERO 371 or ELEC 372; ELEC 342 or 364. Introduction to real-time computer control systems; a review of discrete-time signals and systems, difference equations, z-transform; sampled-data systems, sample and hold, discrete models; discrete equivalents of continuous-time systems; stability analysis; design specifications; design using root locus and frequency response methods; implementation issues including bumpless transfer, integral windup, sample rate selection, pre-filtering, quantization effects and computational delay; scheduling theory and priority assignment to control processes, timing of control loops, effects of missed deadlines; principles and characteristics of sensors and devices, embedded processors, processor/device interface. Lectures: three hours per week. Laboratory: 15 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 490,     Capstone Electrical Engineering Design Project (4 credits),"Prerequisite: Minimum of 75 credits in BEng (Electrical) or permission of the Department; ENGR 301, 371; COEN 311; ELEC 342 or 364; ELEC 390. Students are assigned to groups, and work together under faculty supervision to solve a complex interdisciplinary design problem — typically involving communications, control systems, electromagnetics, power electronics, software design, and/or hardware design. The project fosters teamwork between group members and allows students to develop their project management, technical writing, and technical presentation skills. Tutorial: one hour per week, two terms. Equivalent laboratory time: four hours per week, two terms.
NOTE: All written documentation must follow the Concordia Form and Style guide. Students are responsible for obtaining this document before beginning the project.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
ELEC, 498,     Topics in Electrical Engineering (3 credits),Prerequisite: Permission of the Department. This course may be offered in a given year upon the authorization of the Electrical and Computer Engineering Department. The course content may vary from offering to offering and will be chosen to complement elective courses available in a given year.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
IADI, 301,     Undergraduate Aerospace Industry Project I (0 credit),"Prerequisite: Acceptance into CIADI. The activities associated with this course include participation in regular meetings at the Institute and with faculty and industry members, attendance at training sessions (as applicable), industry training and tours. A project is assigned to the students. Students are also required to prepare and present progress reports on their project. A final report of their project must be submitted to the director of CIADI. A grade of pass or fail will be awarded based on the evaluation of the above activities. All students accepted to CIADI are required to register for this non-credit course activity.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
IADI, 401,     Undergraduate Aerospace Industry Project II (0 credit),"Prerequisite: Pass in IADI 301. The activities associated with this course deal with participation in regular meetings at the Institute and with faculty and industry members, attendance at training sessions (as applicable), industry training and tours. A project is assigned to the students. Students are also required to prepare and present progress reports on their project. A final report of their project must be submitted to the director of CIADI. A grade of pass or fail will be awarded based on the evaluation of the above activities. Students wishing to use their research and design project for their capstone project (e.g. MECH 490, COEN 490) must receive written approval from the Capstone Design Project coordinator in their respective department at the commencement of their CIADI project, and meet all requirements set out by both CIADI and their individual department.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 211,       Introduction to Production and Manufacturing Systems (3 credits),"History of industrial engineering. Role of industrial engineers. Types of manufacturing and production systems. Material flow systems. Job design and work measurement. Introduction to solution methodologies for problems which relate to the design and operation of integrated production systems of humans, machines, information, and materials. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 311,       Simulation of Industrial Systems (3.5 credits),"Prerequisite: ENGR 371. Modelling techniques in simulation; application of discrete simulation techniques to model industrial systems; random number generation and testing; design of simulation experiments using different simulation languages; output data analysis. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 320,       Production Engineering (3 credits),"Prerequisite: INDU 323. The systems approach to production. Interrelationships among the component blocks of the system: forecasting, aggregate planning, production, material and capacity planning, operations scheduling. An overview of integrated production planning and control including MRP II, Just in Time manufacturing (JIT). Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 321,       Lean Manufacturing (3 credits),"Prerequisite: INDU 320. Lean fundamentals; lean manufacturing; lean engineering; lean principles, tools and techniques, practices, and implementation; five S’s, process analysis/spaghetti charts, value engineering; value stream mapping; standardized work/standard times; set-up reduction/line balancing; unit manufacturing; cell layout/cellular manufacturing; total productive maintenance; kanban; lean supply chain management; transition-to-lean roadmap; people/organizational issues in the lean enterprise; Six Sigma; TOM; agile manufacturing. Lectures: three hours per week. Tutorial: one hour per week.
NOTE: Students who have received credit for INDU 420 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 323,       Operations Research I (3.5 credits),"Prerequisite: ENGR 213, 233; INDU 211. An introduction to deterministic mathematical models with emphasis on linear programming. Applications to production, logistics, and service systems. Computer solution of optimization problems. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 324,       Operations Research II (3.5 credits),"Prerequisite: INDU 323. Integer programming (IP), including modelling and enumerative algorithms for solving IP problems; post-optimality analysis. Network flows, dynamic programming and non-linear programming. Applications in the design and operation of industrial systems. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.
NOTE: Students who have received credit for INDU 430 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 330,       Engineering Management (3 credits),"Prerequisite: ENCS 282; ENGR 301 previously or concurrently. Organizational structures, their growth and change. Motivation, leadership, and group behaviour. Design of alternatives for improving organizational performance and effectiveness. Planning, organization and management of engineering projects. Management for total quality. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU ,342,       Logistics Network Models (3 credits),"Prerequisite: INDU 324. Overview of transportation systems; airlines, railways, ocean liners, cargo, energy transportation and pipelines. Supply chain characterization. Site location. Distribution planning. Vehicle routing. Fleet scheduling. Crew scheduling. Demand management. Replenishment management. Revenue management. Geographic information systems. Real-time network control issues. Project. Lectures: three hours per week.
NOTE: Students who have received credit for INDU 442 may not take this course for credit.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 371,       Stochastic Models in Industrial Engineering (3 credits),Prerequisite: ENGR 371. Overview of probability theory; probability distributions; exponential model and Poisson process; discrete-time and continuous-time Markov chains; classification of states; birth and death processes; queuing theory. Application to industrial engineering problems. Lectures: three hours per week. Tutorial: one hour per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 372,       Quality Control and Reliability (3 credits),Prerequisite: ENGR 371. Importance of quality; total quality management; statistical concepts relevant to process control; control charts for variables and attributes; sampling plans. Introduction to reliability models and acceptance testing; issues of standardization. Lectures: three hours per week.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU ,410,       Safety Engineering (3 credits),"Prerequisite: MECH 311 or MIAE 311. This course focuses on the following topics: engineering design for the control of workplace hazards; occupational injuries and diseases; codes and standards; Workplace Hazardous Materials Information Systems (WHMIS); hazard evaluation and control; design criteria; risk assessment; safety in the manufacturing environment; applications in ventilation, air cleaning, noise and vibration. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 411,       Computer Integrated Manufacturing (3.5 credits),"Prerequisite: MECH 311 or MIAE 311. This course focuses on concepts and benefits of computer integrated manufacturing (CIM); design for manufacturing; computer-aided design, process planning, manufacturing (computer numerical control parts programming), and inspection; robots in CIM; production planning and scheduling in CIM; system integration. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 412,       Human Factors Engineering (3.5 credits),"Prerequisite: ENGR 371. Elements of anatomy, physiology, and psychology; engineering anthropometry; human capacities and limitations; manual material handling; design of workplaces; human-machines system design; design of controls and displays; shift work. Applications to a manufacturing environment. Lectures: three hours per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 421,       Facilities Design and Material Handling Systems (3.5 credits),"Prerequisite: INDU 311 previously or concurrently; INDU 320. An introduction to planning and design of production and manufacturing. Facility layout and location. Material handling systems and equipment specifications. Computer-aided facilities planning. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
INDU, 423,       Inventory Control (3.5 credits),"Prerequisite: INDU 320. Inventory analysis and control systems; the role of forecasting in controlling inventories; the role of inventories in physical distribution; supply chain management; work in process inventories; inventory in just-in-time manufacturing systems. Lectures: three hours per week. Tutorial: one hour per week. Laboratory: two hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#perfcreation,
